Word	Definition	Example
barrister	counselor-at-law	Galsworthy started as a barrister, but when he found the practice of law boring, turned to writing.
barterer	trader	The barterer exchanged trinkets for the natives' furs.
bask	luxuriate; take pleasure in warmth	basking on the beach, she relaxed so completely that she fell asleep.
bastion	stronghold; something seen as a source of protection	The villagers fortified the town hall, hoping this improvised bastion could protect them from the guerrila raids.
bate	let down; restrain	Until it was time to open the presents, the children had to bate their curiosity.
bauble	trinket; trifle	The child was delighted with the bauble she had won in the grab bag.
bawdy	indecent; obscene	She took offense at his bawdy remarks.
beatific	giving bliss; blissful	The beatific smile on the child's face made us very happy.
beatitude	blessedness; state of bliss	Growing closer to God each day, the mystic achieved a state of indescribable beatitude.
bedizen	dress with vulgar finery	The witch doctors were bedizened in their gaudiest costumes.
bedraggle	wet thoroughly	We were so bedraggled by the severe storm that we had to change into dry clothing.
befuddle	confuse thoroughly	His attempts to clarify the situation succeeded only on befuddling her further.
beget	father; produce; give rise to	One good turn may deserve another; it does not necessarily beget another.
begrudge	resent	I begrudge every minute I have to spend attending meetings.
beguile	amuse; delude; cheat	I beguiled himself during the long hours by playing solitaire.
behemoth	huge creature; something of monstrous size or power	Sportcasters nicknamed the linebacker "The Behemoth".
beholden	obligated; indebted	Since I do not wish to be beholden to anyone, I cannot accept this favor.
behoove	be suited to; be incumbent upon	In this time of crisis, it behooves all of us to remain calm and await the instructions of our superiors.
belabor	explain or go over excessively or to a ridiculous degree; assail verbally	The debate coach warned her student not to bore the audience by belaboring his point.
belated	delayed	He apologized for his belated note of condolence to the widow of his friend and explained that he had just learned of her husband's untimely death.
beleaguer	besiege	As soon as the city was beleaguered, the life became more subdued as the citizens began their long wait for outside assitance.
belie	contradict; give a false impression	His coarse, hard-bitten exterior belied his innate sensitivity.
belittle	disparage; depreciate	Parents should not belittle their children's early attempts at drawing, but should encourage their efforts.
bellicose	warlike	His bellicose disposition alienated his friends.
belligerent	quarrelsome	Whenever he had too much to drink, he became belligerent and tried to pick fights with strangers.
bemused	confused; lost in thought; preoccupied	Jill studied the garbled instructions with a bemused look on her face.
benediction	blessing	The appearance of the sun after the many rainy days was like a benediction.
benefactor	gift giver; patron	Scrooge later became Tiny Tim's benefactor and gave him a benediction.
beneficent	kindly; doing good	The overgenerous philanthropist had to curb his beneficent impulses before he gave away all his money and left himself with nothing.
beneficiary	person entitled to benefits or proceeds of an insurance policy	You may change your beneficiary as often as you wish.
benevolent	generous; charitable	His benevolent nature prevented him from refusing any beggar who accosted him.
benign	kindly; favorable; not malignant	The old man was well liked because of his benign attitude toward friend and stranger alike.
benison	blessing	Let us pray that the benison of peace once more shall prevail among the nations of the world.
bent	determined; natural talent or inclination	bent on advancing in the business world, the secretary heroine of Working Girl had a true bent for high finance.
bequeath	leave to someone by means of a will; hand down	In his will, Father bequeathed his watch to Phillip; the bequest meant a great deal to the boy.
berate	scold strongly	He feared she would berate him for his forgetfulness.
bereavement	state of being deprived of something valuable or beloved	His friends gathered to console him upon his sudden bereavement.
bereft	deprived of; lacking	The foolish gambler soon found himself bereft of funds.
berserk	frenzied	Angered, he went berserk and began to wreck the room.
beset	harass; trouble	Many problems beset the American public school system.
